# Hetzner Cloud Pricing for OpenCost CSV Provider
# Prices in EUR per hour (EU locations - Germany/Finland)
# Last updated: January 2026
# Source: https://www.hetzner.com/cloud/
#
# Note: Prices exclude VAT. Monthly caps apply (hourly billing never exceeds monthly max).
# For US/Singapore locations, prices may differ slightly.
#
# ==================== CLOUD SERVERS ====================
# Format: EndTimestamp,InstanceID,Region,AssetClass,InstanceIDField,InstanceType,MarketPriceHourly,Version
#
# --- CAX Series (ARM - Ampere Altra, Shared vCPU) ---
# Best price-performance ratio, ARM-based
EndTimestamp,InstanceID,Region,AssetClass,InstanceIDField,InstanceType,MarketPriceHourly,Version
,cax11,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cax11,0.0061,2026.01
,cax11,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cax11,0.0061,2026.01
,cax11,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cax11,0.0061,2026.01
,cax21,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cax21,0.0098,2026.01
,cax21,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cax21,0.0098,2026.01
,cax21,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cax21,0.0098,2026.01
,cax31,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cax31,0.0188,2026.01
,cax31,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cax31,0.0188,2026.01
,cax31,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cax31,0.0188,2026.01
,cax41,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cax41,0.0369,2026.01
,cax41,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cax41,0.0369,2026.01
,cax41,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cax41,0.0369,2026.01
# --- CPX Series (AMD EPYC, Shared vCPU) ---
# Good balance for production workloads with variable demand
,cpx11,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx11,0.0066,2026.01
,cpx11,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx11,0.0066,2026.01
,cpx11,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx11,0.0066,2026.01
,cpx21,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx21,0.0114,2026.01
,cpx21,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx21,0.0114,2026.01
,cpx21,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx21,0.0114,2026.01
,cpx31,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cpx31,0.0213,2026.01
,cpx31,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cpx31,0.0213,2026.01
,cpx31,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cpx31,0.0213,2026.01
